 Asset Description,Commision Year,More than 10years,Purchase Cost,Price more 10k, Asset Status, Expected Lifespan (Years), Asset Age (Year), Warranty Duration,Past Expected, Purchase Category,Purchase Status,Purchase Date
Mobile X-Ray,2015,0,149541.2,1,Active,7,3.11,12,0,Additional,1,26/10/2015
Laser Imager,2015,0,31250,1,Active,10,4,24,0,Additional,1,02/09/2015
Electrosurgical Unit,2015,0,49850,1,Active,7,4.6,12,0,Additional,1,26/03/2015
Smoke Evacuator,2013,0,29000,1,Active,7,6.5,11,0,Additional,1,04/04/2013
Laser Photocoagulator,2013,0,149700,1,Active,10,6.3,23,0,Additional,1,10/06/2013
Pachymeter,2010,0,23000,1,Active,10,9.5,11,0,Additional,1,08/04/2010
Bipolar Coagulator,2006,1,8000,0,Active,7,12.1,11,1,Additional,1,14/11/2006
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Apheresis Machine,2010,0,225000,1,Inactive,10,8.9,36,0,Additional,1,06/12/2010
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Syringe Pump,2014,0,2989,0,Active,10,5.8,11,0,Additional,1,28/01/2014
Infusion Pump,2014,0,3550,0,Active,10,4.11,24,0,Additional,1,15/10/2014
Infusion Pump,2014,0,3550,0,Active,10,4.11,24,0,Additional,1,15/10/2014
"Infusion Pumps, Syringe",2019,0,15000,1,Active,10,0.4,12,0,Additional,1,16/05/2019
"Infusion Pumps, Syringe",2019,0,15000,1,Active,10,0.4,12,0,Additional,1,16/05/2019
"Warming Units, Patient, Forced-Air",2019,0,9500,0,Active,8,0.3,12,0,Additional,1,10/06/2019
"Warming Units, Patient, Forced-Air",2019,0,9500,0,Active,8,0.3,12,0,Additional,1,10/06/2019
"Warming Units, Patient, Forced-Air",2019,0,9500,0,Active,8,0.3,12,0,Additional,1,10/06/2019
"Warming Units, Patient, Forced-Air",2019,0,9500,0,Active,8,0.3,12,0,Additional,1,10/06/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Infusion Pumps, Syringe",2019,0,3500,0,Active,10,0.4,12,0,Additional,1,23/05/2019
"Warming Units, Blood/Solution",2019,0,7000,0,Active,7,0.4,24,0,Additional,1,23/05/2019
"Warming Units, Blood/Solution",2019,0,7000,0,Active,7,0.4,24,0,Additional,1,23/05/2019
"Warming Units, Blood/Solution",2019,0,7000,0,Active,7,0.4,24,0,Additional,1,23/05/2019
"Warming Units, Patient, Forced-Air",2019,0,9500,0,Active,8,0.3,12,0,Additional,1,10/06/2019
Physiologic Monitoring System,2006,1,48000,1,Active,7,13.5,11,1,Additional,1,17/04/2006
Automated External Defibrillator,2013,0,9000,0,Active,5,6.3,11,1,Additional,1,18/06/2013
Automated External Defibrillator,2013,0,7000,0,Active,5,6.3,11,1,Additional,1,18/06/2013
Automated External Defibrillator,2013,0,9000,0,Active,5,6.3,11,1,Additional,1,18/06/2013
NIBP Electronic,2007,1,3700,0,Active,10,12.3,12,1,Additional,1,22/06/2007
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Ultrasound Surgical Units,2017,0,179000,1,Active,8,1.11,12,0,Additional,1,23/10/2017
Osmometer,2007,1,27500,1,Active,7,11.11,12,1,Additional,1,29/10/2007
Ultrasound,2010,0,199900,1,Active,8,9.6,60,1,Additional,1,26/03/2010
Ct Simulator,2006,1,2942379,1,Active,5,13.3,11,1,Additional,1,23/06/2006
Spect Ct,2013,0,2634435,1,Active,5,6.4,11,1,Additional,1,20/05/2013
CT Scan,2010,0,2331327,1,Active,5,9.5,24,1,Additional,1,28/04/2010
CT Scan,2013,0,5000000,1,Active,5,6.1,11,1,Additional,1,02/08/2013
Computer Controlled Local Anaesthetic,2009,1,14700,1,Inactive,7,11.9,12,1,Additional,1,11/12/2007
Hematology Analyzer,2013,0,189990,1,Inactive,10,6.4,23,0,Additional,1,20/05/2013
"Laparoscopes, Video",2018,0,720000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
"Cataract Extraction Units, Phacoemulsification",2018,0,1800000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
Training Aids,2018,0,900000,1,Active,10,1.11,48,0,Additional,1,20/10/2017
"Telemanipulation Systems, Surgical, Minimal Invasive",2018,0,2300000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
Arthroscopes,2018,0,1550000,1,Active,3,1.11,48,0,Additional,1,20/10/2017
Training Aids,2018,0,950000,1,Active,10,1.11,48,0,Additional,1,20/10/2017
"Radiographic/Fluoroscopic Systems, General-Purpose",2018,0,1778000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
"Scanning Systems, Ultrasonic, General-Purpose",2018,0,1900000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
Hysteroscopes,2018,0,1515000,1,Active,5,2.8,48,0,Additional,1,20/01/2017
"Radiographic/Fluoroscopic Systems, Angiographic/Interventional",2018,0,2740000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
"Laparoscopes, Video",2018,0,2650000,1,Active,8,1.11,48,0,Additional,1,20/10/2017
"Bronchoscopes, Flexible, Video",2018,0,1950000,1,Active,3,1.11,48,0,Additional,1,20/10/2017
Automated Hematology Analyzer,2008,1,119900,1,Inactive,10,11.1,12,1,Additional,1,21/11/2007
Model Trimmer,2006,1,7780,0,Inactive,10,13.1,11,1,Additional,1,09/08/2006
"Flowmeters, Blood, Ultrasonic",2018,0,5880,0,Active,7,0.1,12,0,Additional,1,12/11/2018
Digital Fluroscopy Unit,2014,0,1030221,1,Active,8,6.11,23,0,Additional,1,31/10/2012
Angiography System,2006,1,2800000,1,Active,8,13.3,11,1,Additional,1,21/06/2006
Digital Fluroscopy Unit,2008,1,1350000,1,Active,8,11.1,23,1,Additional,1,20/08/2008
Digital Fluroscopy Unit,2007,1,920000,1,Active,8,12.7,12,1,Additional,1,09/02/2007
Digital Fluroscopy Unit,2006,1,938000,1,Active,8,13.2,11,1,Additional,1,31/07/2006
Digital Chest Radiography System,2006,1,908000,1,Active,8,13.2,11,1,Additional,1,31/07/2006
Angiography System,2015,0,4303000,1,Active,8,4.8,12,0,Additional,1,27/01/2015
BP Set,2013,0,690,0,Active,5,6.2,11,1,Additional,1,22/07/2013
Syringe Pump,2003,1,2300,0,Active,10,16.8,11,1,Additional,1,09/01/2003
Syringe Pump,2003,1,2300,0,Active,10,16.8,11,1,Additional,1,09/01/2003
Syringe Pump,2003,1,2300,0,Active,10,16.8,11,1,Additional,1,09/01/2003
Syringe Pump,2003,1,2300,0,Active,10,16.8,11,1,Additional,1,09/01/2003
Syringe Pump,2003,1,2300,0,Active,10,17.8,11,1,Additional,1,09/01/2002
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Infusion Pump,2013,0,3550,0,Active,10,6.3,23,0,Additional,1,28/06/2013
Aspirators,2018,1,4800,0,Active,10,12.3,12,1,Additional,1,12/06/2007
Induction Heating Unit,2006,1,1980,0,Active,10,13.1,11,1,Additional,1,11/08/2006
Induction Heating Unit,2006,1,1980,0,Active,10,13.1,11,1,Additional,1,11/08/2006
"Analyzers, Laboratory, Blood Gas/pH",2019,0,44620,1,Active,5,6.3,12,1,Additional,1,06/06/2013
"Ventilators, Transport",2019,0,69850,1,Active,10,0.11,27,0,Additional,1,29/10/2018
"Ventilators, Transport",2019,0,69850,1,Active,10,0.11,27,0,Additional,1,29/10/2018
"Centrifuges, Tabletop",2019,0,20000,1,Active,8,4.9,12,0,Additional,1,10/12/2014
Aspirators,2019,0,6500,0,Active,10,6.5,24,0,Additional,1,25/04/2013
Aspirators,2018,0,4700,0,Active,10,0.11,12,0,Additional,1,30/10/2018
"Defibrillator/Pacemakers, External",2018,0,25050,1,Active,5,0.1,12,0,Additional,1,05/11/2018
Nerve Function Monitors,2018,0,350000,1,Active,7,0.1,24,0,Additional,1,13/11/2018
Electrocardiograph,2005,1,16000,1,Active,7,13.9,11,1,Additional,1,02/12/2005
"Electrosurgical Units, Monopolar/Bipolar",2018,0,84500,1,Active,7,0.1,24,0,Additional,1,02/11/2018
"Electrosurgical Units, Monopolar/Bipolar",2018,0,84500,1,Active,7,0.1,24,0,Additional,1,02/11/2018
"Defibrillator/Pacemakers, External",2018,0,24900,1,Active,5,0.1,12,0,Additional,1,13/11/2018
Ultrasonic Surgical Aspiration System,2018,0,399000,1,Active,10,0.1,24,0,Additional,1,13/11/2018
Aspirators,2018,0,4300,0,Active,10,0.1,12,0,Additional,1,13/11/2018
Aspirators,2018,0,4300,0,Active,10,0.1,12,0,Additional,1,13/11/2018
Aspirators,2018,0,4300,0,Active,10,0.1,12,0,Additional,1,13/11/2018
"Defibrillator/Pacemakers, External",2018,0,39850,1,Active,5,2.2,0,0,Additional,1,20/07/2017
